id,name,email,department,role,salary,active,created_at
1,User 1,user1@example.com,Design,Mid,50137,true,2020-01-01
2,User 2,user2@example.com,Sales,Senior,50274,true,2020-01-02
3,User 3,user3@example.com,Support,Lead,50411,false,2020-01-03
4,User 4,user4@example.com,Engineering,Junior,50548,true,2020-01-04
5,User 5,user5@example.com,Design,Mid,50685,true,2020-01-05
6,User 6,user6@example.com,Sales,Senior,50822,false,2020-01-06
7,User 7,user7@example.com,Support,Lead,50959,true,2020-01-07
8,User 8,user8@example.com,Engineering,Junior,51096,true,2020-01-08
9,User 9,user9@example.com,Design,Mid,51233,false,2020-01-09
10,User 10,user10@example.com,Sales,Senior,51370,true,2020-01-10
11,User 11,user11@example.com,Support,Lead,51507,true,2020-01-11
12,User 12,user12@example.com,Engineering,Junior,51644,false,2020-01-12
13,User 13,user13@example.com,Design,Mid,51781,true,2020-01-13
14,User 14,user14@example.com,Sales,Senior,51918,true,2020-01-14
15,User 15,user15@example.com,Support,Lead,52055,false,2020-01-15
16,User 16,user16@example.com,Engineering,Junior,52192,true,2020-01-16
17,User 17,user17@example.com,Design,Mid,52329,true,2020-01-17
18,User 18,user18@example.com,Sales,Senior,52466,false,2020-01-18
19,User 19,user19@example.com,Support,Lead,52603,true,2020-01-19
20,User 20,user20@example.com,Engineering,Junior,52740,true,2020-01-20
21,User 21,user21@example.com,Design,Mid,52877,false,2020-01-21
22,User 22,user22@example.com,Sales,Senior,53014,true,2020-01-22
23,User 23,user23@example.com,Support,Lead,53151,true,2020-01-23
24,User 24,user24@example.com,Engineering,Junior,53288,false,2020-01-24
25,User 25,user25@example.com,Design,Mid,53425,true,2020-01-25
26,User 26,user26@example.com,Sales,Senior,53562,true,2020-01-26
27,User 27,user27@example.com,Support,Lead,53699,false,2020-01-27
28,User 28,user28@example.com,Engineering,Junior,53836,true,2020-01-28
29,User 29,user29@example.com,Design,Mid,53973,true,2020-01-29
30,User 30,user30@example.com,Sales,Senior,54110,false,2020-01-30
31,User 31,user31@example.com,Support,Lead,54247,true,2020-01-31
32,User 32,user32@example.com,Engineering,Junior,54384,true,2020-02-01
33,User 33,user33@example.com,Design,Mid,54521,false,2020-02-02
34,User 34,user34@example.com,Sales,Senior,54658,true,2020-02-03
35,User 35,user35@example.com,Support,Lead,54795,true,2020-02-04
36,User 36,user36@example.com,Engineering,Junior,54932,false,2020-02-05
37,User 37,user37@example.com,Design,Mid,55069,true,2020-02-06
38,User 38,user38@example.com,Sales,Senior,55206,true,2020-02-07
39,User 39,user39@example.com,Support,Lead,55343,false,2020-02-08
40,User 40,user40@example.com,Engineering,Junior,55480,true,2020-02-09
41,User 41,user41@example.com,Design,Mid,55617,true,2020-02-10
42,User 42,user42@example.com,Sales,Senior,55754,false,2020-02-11
43,User 43,user43@example.com,Support,Lead,55891,true,2020-02-12
44,User 44,user44@example.com,Engineering,Junior,56028,true,2020-02-13
45,User 45,user45@example.com,Design,Mid,56165,false,2020-02-14
46,User 46,user46@example.com,Sales,Senior,56302,true,2020-02-15
47,User 47,user47@example.com,Support,Lead,56439,true,2020-02-16
48,User 48,user48@example.com,Engineering,Junior,56576,false,2020-02-17
49,User 49,user49@example.com,Design,Mid,56713,true,2020-02-18
50,User 50,user50@example.com,Sales,Senior,56850,true,2020-02-19
51,User 51,user51@example.com,Support,Lead,56987,false,2020-02-20
52,User 52,user52@example.com,Engineering,Junior,57124,true,2020-02-21
53,User 53,user53@example.com,Design,Mid,57261,true,2020-02-22
54,User 54,user54@example.com,Sales,Senior,57398,false,2020-02-23
55,User 55,user55@example.com,Support,Lead,57535,true,2020-02-24
56,User 56,user56@example.com,Engineering,Junior,57672,true,2020-02-25
57,User 57,user57@example.com,Design,Mid,57809,false,2020-02-26
58,User 58,user58@example.com,Sales,Senior,57946,true,2020-02-27
59,User 59,user59@example.com,Support,Lead,58083,true,2020-02-28
60,User 60,user60@example.com,Engineering,Junior,58220,false,2020-02-29
